s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,Location ID,Location City,Location County,Mailing Address,Mailing Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERRY FORK FEED & SUPPLIES LLC,103,CHERRY FORK,ADAMS,"P.O. BOX 5, 5715 DECATUR PIKE",CHERRY FORK OH 45618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERRY FORK FEED & SUPPLIES LLC,1302,WILLIAMSBURG,CLERMONT,"P.O. BOX 5, 5715 DECATUR PIKE",CHERRY FORK OH 45618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMMODITY BLENDERS GRAIN, LLC",8518,WEST SALEM,WAYNE,10510 MYERS ROAD,WEST SALEM OH 44287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSOLIDATED GRAIN & BARGE CO.,3103,ANDERSON FERRY,HAMILTON,"1127 HIGHWAY 190, EAST SERVICE RD.",COVINGTON LA 70433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSOLIDATED GRAIN & BARGE CO.,3109,NORTH BEND,HAMILTON,"1127 HIGHWAY 190, EAST SERVICE RD.",COVINGTON LA 70433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSOLIDATED GRAIN & BARGE CO.,3112,RIVERSIDE,HAMILTON,"1127 HIGHWAY 190, EAST SERVICE RD.",COVINGTON LA 70433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COOPER FARMS, INC.",1906,UNION CITY,DARKE,"P.O. BOX 339, 2321 S.R. 49",FT. RECOVERY OH 45846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COOPER FARMS, INC.",5401,FT. RECOVERY-NORTH,MERCER,"P.O. BOX 339, 2321 S.R. 49",FT. RECOVERY OH 45846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COOPER FARMS, INC.",5416,FT. RECOVERY-SOUTH,MERCER,"P.O. BOX 339, 2321 S.R. 49",FT. RECOVERY OH 45846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COOPER FARMS, INC.",6316,PAULDING,PAULDING,"P.O. BOX 547, 22348 ROAD 140",OAKWOOD OH 45873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSHOCTON GRAIN COMPANY,1610,COSHOCTON,COSHOCTON,813 CLARK AVENUE,ASHLAND OH 44805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSHOCTON GRAIN COMPANY,4502,HEBRON,LICKING,813 CLARK AVENUE,ASHLAND OH 44805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COUNTYLINE CO-OP, INC.",7202,GIBSONBURG,SANDUSKY,"P.O. BOX C, 425 E. FRONT ST.",PEMBERVILLE OH 43450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COUNTYLINE CO-OP, INC.",7406,KANSAS,SENECA,"P.O. BOX C, 425 E. FRONT ST.",PEMBERVILLE OH 43450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COUNTYLINE CO-OP, INC.",8712,PEMBERVILLE,WOOD,"P.O. BOX C, 425 E. FRONT ST.",PEMBERVILLE OH 43450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COUNTYLINE CO-OP, INC.",8715,RISING SUN,WOOD,"P.O. BOX C, 425 E. FRONT ST.",PEMBERVILLE OH 43450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COUNTYLINE CO-OP, INC.",8719,WAYNE,WOOD,"P.O. BOX C, 425 E. FRONT ST.",PEMBERVILLE OH 43450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DANVILLE FEED & SUPPLY, INC.",4205,DANVILLE,KNOX,"P.O. BOX 10, 608 S. MARKET ST.",DANVILLE OH 43014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DANVILLE FEED & SUPPLY, INC.",4207,HAWK FARM,KNOX,"P.O. BOX 10, 608 S. MARKET ST.",DANVILLE OH 43014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEERFIELD AG SERVICES, INC.",6709,DEERFIELD,PORTAGE,9041 STATE ROUTE 224,DEERFIELD OH 44411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEERFIELD AG SERVICES, INC.",7609,LOUISVILLE,STARK,9041 STATE ROUTE 224,DEERFIELD OH 44411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEERFIELD AG SERVICES, INC.",7610,MASSILLON,STARK,9041 STATE ROUTE 224,DEERFIELD OH 44411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEERFIELD AG SERVICES, INC.",7807,KINSMAN,TRUMBULL,9041 STATE ROUTE 224,DEERFIELD OH 44411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DESGRANGES BROS., INC.",3505,HOLGATE,HENRY,17698 STATE ROUTE 18,HOLGATE OH 43527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DR SMALL, LLC",4507,UTICA,LICKING,"P.O. BOX 587, 138 CHURCH STREET",UTICA OH 43080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EDON FARMERS CO-OP ASSN., INC.",8601,EDON,WILLIAMS,"P.O. BOX 308, 205 S. MICHIGAN",EDON OH 43518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EDON FARMERS CO-OP ASSN., INC.",8603,MONTPELIER,WILLIAMS,"P.O. BOX 308, 205 S. MICHIGAN",EDON OH 43518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
