s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,Location ID,Location City,Location County,Mailing Address,Mailing Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETTISVILLE GRAIN CO.,2603,PETTISVILLE,FULTON,"P.O. BOX 53009, 18251 COUNTY ROAD DE",PETTISVILLE OH 43553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETTISVILLE GRAIN CO.,2608,SOUTH DELTA,FULTON,"P.O. BOX 53009, 18251 COUNTY ROAD DE",PETTISVILLE OH 43553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETTISVILLE GRAIN CO.,8609,WEST UNITY,WILLIAMS,"P.O. BOX 53009, 18251 COUNTY ROAD DE",PETTISVILLE OH 43553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POET GRAIN, LLC",5115,MARION,MARION,3939 N WEBB ROAD,WICHITA KS 67226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POET GRAIN, LLC",6902,LEIPSIC,PUTNAM,3939 N WEBB ROAD,WICHITA KS 67226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POET GRAIN, LLC",7424,FOSTORIA,SENECA,3939 N WEBB ROAD,WICHITA KS 67226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PREMIER GRAIN, LLC",1103,URBANA,CHAMPAIGN,700 MIAMI STREET,URBANA OH 43078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PREMIER GRAIN, LLC",1404,SABINA,CLINTON,1 SOLUTIONS AVENUE,SABINA OH 45169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PREMIER GRAIN, LLC",1413,MELVIN,CLINTON,238 MELVIN ROAD,WILMINGTON OH 45177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PREMIER GRAIN, LLC",2902,JAMESTOWN,GREENE,25 SOUTH CHURCH STREET,JAMESTOWN OH 45335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PREMIER GRAIN, LLC",3603,LEESBURG,HIGHLAND,116 SOUTH FAIRFIELD STREET,LEESBURG OH 45135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PREMIER GRAIN, LLC",7111,LYNDON,ROSS,3540 STATE ROUTE 28 EAST,SOUTH SALEM OH 45681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PREMIUM AG GRAINS, LLC",3610,HILLSBORO,HIGHLAND,630 SOUTH HIGH STREET,HILLSBORO OH 45133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PREMIUM AGRICULTURAL COMMODITIES, INC.",3609,HILLSBORO,HIGHLAND,630 SOUTH HIGH STREET,HILLSBORO OH 45133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURE LINE FOOD COMPANY,8104,MIDDLE POINT,VAN WERT,"P.O. BOX 220, 101 N. MASON ST.",MIDDLE POINT OH 45863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPUBLIC MERCANTILE & ELEVATOR ASSN,7410,REPUBLIC,SENECA,"P.O. BOX 10, 522 MAPLE ST.",REPUBLIC OH 44867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIDGEVILLE ELEVATOR, INC.",2606,FAYETTE,FULTON,"P.O. BOX 276, 20903 US RT. 6",RIDGEVILLE CORNERS OH 43555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIDGEVILLE ELEVATOR, INC.",3506,ELERY,HENRY,"P.O. BOX 276, 20903 US RT. 6",RIDGEVILLE CORNERS OH 43555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIDGEVILLE ELEVATOR, INC.",3516,MCCLURE,HENRY,"P.O. BOX 276, 20903 US RT. 6",RIDGEVILLE CORNERS OH 43555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIDGEVILLE ELEVATOR, INC.",3519,RIDGVL.CORNER,HENRY,"P.O. BOX 276, 20903 US RT. 6",RIDGEVILLE CORNERS OH 43555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIDGEVILLE ELEVATOR, INC.",8113,OHIO CITY,NULL,"P.O. BOX 276, 20903 US RT. 6",RIDGEVILLE CORNERS OH 43555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIEGEL FEED & GRAIN, INC.",6819,NEW PARIS,PREBLE,307 N. WASHINGTON ST.,NEW PARIS OH 45347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RO-LIN FARM SERVICES, INC.",5714,GERMANTOWN,MONTGOMERY,"P.O. BOX 278, 8040 CONSERVANCY",GERMANTOWN OH 45327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RUDY, INC.",5509,COVINGTON,MIAMI,"P.O. BOX 67, 200 HAZEL ST.",COVINGTON OH 45318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RUDY, INC.",5520,WEST MILTON,MIAMI,"P.O. BOX 67, 200 HAZEL ST.",COVINGTON OH 45318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RUSHCREEK FEED & SUPPLY CO., INC.",2302,BREMEN,FAIRFIELD,103 S. BROAD ST.,BREMEN OH 43107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT EQUITY EXCHANGE CO.,8102,SCOTT,VAN WERT,"P.O. BOX 147, 12529 BLAINE ST.",SCOTT OH 45886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTT EQUITY EXCHANGE CO.,8105,VAN WERT,VAN WERT,"P.O. BOX 147, 12529 BLAINE ST.",SCOTT OH 45886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMMONS FEED & SUPPLY LLC,1502,SALEM,COLUMBIANA,"P.O. BOX 432, 600 SNYDER RD.",SALEM OH 44460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNYDER GRAIN, LLC",5005,NEW SPRINGFIELD,MAHONING,12833 BEARD ROAD,NEW SPRINGFIELD OH 44443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR OF THE WEST MILLING CO.,3901,WILLARD,HURON,"P.O. BOX 438, 3510 S.R. 103 E.",WILLARD OH 44890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STOLLER FARMS, INC.",8111,VAN WERT,VAN WERT,12015 STATE ROUTE 118,VAN WERT OH 45891-9250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRYKER FARMERS EXCHANGE CO.,8607,STRYKER,WILLIAMS,"P.O. BOX 509, 114 WEST ST.",STRYKER OH 43557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",607,UNIOPOLIS,AUGLAIZE,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420-0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",1203,SOUTH CHARLESTON,CLARK,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420-0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",1712,NEW WASHINGTON,CRAWFORD,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420-0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",1715,CRESTLINE,CRAWFORD,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420-0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",1910,OSGOOD,DARKE,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420-0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",3907,CLARKSFIELD,HURON,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",3916,MONROEVILLE,HURON,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",7215,CLYDE,SANDUSKY,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420-0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE COOPERATIVE, INC.",7502,BOTKINS,SHELBY,"P.O. BOX 870,2025 W. STATE ST.",FREMONT OH 43420-0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T.Y.G.B.J.Y., INC.",402,COLEBROOK,ASHTABULA,8549 STATE ROUTE 46 S,ORWELL OH 44076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE ANDERSONS, INC.",1414,PORT WILLIAM,CLINTON,"P.O. BOX 119, 1947 BRIARFIELD BLVD.",MAUMEE OH 43537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE ANDERSONS, INC.",1928,GREENVILLE,DARKE,"P.O. BOX 119, 1947 BRIARFIELD BLVD.",MAUMEE OH 43537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE ANDERSONS, INC.",2604,METAMORA,FULTON,"P.O. BOX 119, 1947 BRIARFIELD BLVD.",MAUMEE OH 43537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE ANDERSONS, INC.",4801,KUHLMAN D & B,LUCAS,"P.O. BOX 119, 1947 BRIARFIELD BLVD.",MAUMEE OH 43537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE ANDERSONS, INC.",4806,ILLINOIS AVE.,LUCAS,"P.O. BOX 119, 1947 BRIARFIELD BLVD.",MAUMEE OH 43537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE ANDERSONS, INC.",4807,CONANT STREET,LUCAS,"P.O. BOX 119, 1947 BRIARFIELD BLVD.",MAUMEE OH 43537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE ANDERSONS, INC.",4808,EDWIN-RIVER,LUCAS,"P.O. BOX 119, 1947 BRIARFIELD BLVD.",MAUMEE OH 43537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE ANDERSONS, INC.",4809,REYNOLDS RD.,LUCAS,"P.O. BOX 119, 1947 BRIARFIELD BLVD.",MAUMEE OH 43537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE CARROLLTON FARMERS EXCHANGE CO.,1001,CARROLLTON,CARROLL,204 2ND STREET NW,CARROLLTON OH 44615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE DELONG CO.,6511,LOCKBOURNE,PICKAWAY,P.O. BOX 552,CLINTON WI 53525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE DELONG CO.,8724,NORTH BALTIMORE,WOOD,P.O. BOX 552,CLINTON OH 53525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,1703,BUCYRUS,CRAWFORD,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,2103,RADNOR,DELAWARE,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,2410,JEFFERSONVILLE,FAYETTE,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,3211,FOSTORIA,HANCOCK,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,3311,FORAKER,HARDIN,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,3703,LOGAN,HOCKING,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,4802,TOLEDO,LUCAS,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,5515,TROY,MIAMI,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,6506,ELMWOOD,PICKAWAY,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,6510,ATLANTA,PICKAWAY,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,7110,KINGSTON,ROSS,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,7401,ALVADA,SENECA,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,8801,NEVADA,WYANDOT,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,8811,WHARTON,WYANDOT,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,8812,C & O,WYANDOT,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,8813,FARM,WYANDOT,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE MENNEL MILLING COMPANY,8817,MORRAL,WYANDOT,319 SOUTH VINE STREET,FOSTORIA OH 44830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE SCOULAR COMPANY,5512,COVINGTON,MIAMI,"10801 MASTIN STREET, SUITE 800",OVERLAND PARK KS 66210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TIFFIN FARMERS CO-OP, INC.",7411,TIFFIN,SENECA,"P.O. BOX 576, 585 S. C.R. 13",TIFFIN OH 44883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMK FARM SERVICE,3810,HOLMESVILLE,HOLMES,"P.O. BOX 278, 138 SECOND STREET NW",SUGARCREEK OH 44681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMK FARM SERVICE,7903,SUGARCREEK,TUSCARAWAS,"P.O. BOX 278, 138 SECOND STREET NW",SUGARCREEK OH 44681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED EQUITY, INC.",201,DELPHOS,ALLEN,"P.O. BOX 398, 104 S. MAIN ST.",DELPHOS OH 45833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED EQUITY, INC.",209,SPENCERVILLE,ALLEN,110 EAST NORTH STREET,SPENCERVILLE OH 45887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED EQUITY, INC.",5419,NEPTUNE,MERCER,8731 STATE ROUTE 197,CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VANTILBURG FARMS, INC.",5412,CELINA,MERCER,8398 CELINA-MENDON ROAD,CELINA OH 45822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VERSAILLES FEED MILL, INC.",1912,VERSAILLES,DARKE,"P.O. BOX 21, 242 N. WEST ST.",VERSAILLES OH 45380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERSOVA MANAGEMENT COOPERATIVE,4505,CROTON,LICKING,10513 CROTON ROAD,JOHNSTOWN OH 43031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERSOVA MANAGEMENT COOPERATIVE,5116,LARUE,MARION,10513 CROTON ROAD,JOHNSTOWN OH 43031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"W.C. MILLING, LLC",106,SEAMAN,ADAMS,"P.O. BOX 293, 100 OPAL STREET",SEAMAN OH 45679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WALNUT HILL FEEDS, INC.",1717,SHELBY,CRAWFORD,6048 STATE ROUTE 598,SHELBY OH 44875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WESTFIELD SPECIALTY GRAINS, LLC",7809,CORTLAND,TRUMBULL,4193 EVERETT HULL ROAD,CORTLAND OH 44410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WESTSIDE FEED SERVICE, INC.",1701,BUCYRUS,CRAWFORD,1115 W. MANSFIELD ST.,BUCYRUS OH 44820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTVILLE GRAIN CO.,1104,WESTVILLE,CHAMPAIGN,1045 STATE ROUTE 560,URBANA OH 43078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTVILLE GRAIN CO.,1112,JENKINS FARM,CHAMPAIGN,3545 HECK ROAD,SAINT PARIS OH 43072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WHITELEATHER GRAIN, LLC",1512,MINERVA,COLUMBIANA,8383 BAYARD ROAD,MINERVA OH 44657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WHITELEATHER GRAIN, LLC",1513,WILSON RD.,COLUMBIANA,WILSON ROAD,MINERVA OH 44657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WINCHESTER AG SERVICE, INC.",101,WINCHESTER,ADAMS,"P.O. BOX 86, 1350 TRI COUNTY",WINCHESTER OH 45697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WINCHESTER AG SERVICE, INC.",801,GEORGETOWN,BROWN,5867 DAY HILL ROAD,GEORGETOWN OH 45121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRAY GRAIN LLC,1927,ARCANUM,DARKE,4693 RED RIVER-WEST GROVE RD.,ARCANUM OH 45304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUNG FAMILY FARMS ENTERPRISES LLC,305,ASHLAND,ASHLAND,954 COUNTY ROAD 1754,ASHLAND OH 44805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
