"ACCT_NUM","EXPIRE_DT","CLI_NUM","CLI_LEGAL_NAME","CLI_DBA","CONTACT_NAME_PREFIX","CONTACT_NAME_FIRST","CONTACT_NAME_MIDDLE","CONTACT_NAME_LAST","CONTACT_NAME_SUFFIX","CONTACT_NAME","ATTN_NAME","FACILITY_NAME","COUNTY_NAME"
"0602579","46568.0","00441575","ACN AGRIPRODUCTS LLC","","","RUBEN","","PUGA","","RUBEN  PUGA","RUBEN  PUGA","ACN AGRIPRODUCTS LLC","HIDALGO"
"0580248","46630.0","00445670","QUALITY GRAIN LLC","","","ERIC","B","AKINS","","ERIC B AKINS","ERIC B AKINS","1 QUALITY GRAIN  (DORCHESTER)","GRAYSON"
"0580248","46630.0","00445670","QUALITY GRAIN LLC","","","ERIC","B","AKINS","","ERIC B AKINS","ERIC B AKINS","2 QUALITY GRAIN (SHERMAN)","GRAYSON"
"0747707","46418.0","00141789","SILVERCOT INC","","","ELOY","","BELTRAN","","ELOY  BELTRAN","ELOY  BELTRAN","SILVERCOT, INC.","BRISCOE"
"0908473","46538.0","00668893","HAMLIN ELEVATOR LLC","","","TAYLOR","","SHARPE","","TAYLOR  SHARPE","TAYLOR  SHARPE","HAMLIN ELEVATOR LLC","JONES"
"0908473","46538.0","00668893","HAMLIN ELEVATOR LLC","","","TAYLOR","","SHARPE","","TAYLOR  SHARPE","TAYLOR  SHARPE","WEINERT ELEVATOR","HASKELL"
"0237258","46538.0","00048276","WALLER RICE DRIER INC","WALLER RICE DRIER INC","","PATTI","P","HEGAR","","PATTI P HEGAR","PATTI P HEGAR","WALLER RICE DRIER INCORPORATED","HARRIS"
"0237306","46538.0","00031755","VIOLET GRAIN CO INC","VIOLET GRAIN CO INC","MS.","TRACY","A","WILLIAMS","","TRACY A WILLIAMS","TRACY A WILLIAMS","VIOLET GRAIN COMPANY INC","NUECES"
"0237279","46538.0","00036955","LONE STAR FARMERS COOPERATIVE","LONESTAR COOPERATIVE GIN CO","","CONNIE","","ACEVEDO","","CONNIE  ACEVEDO","CONNIE  ACEVEDO","MERETA","TOM GREEN"
"0237395","46538.0","00299213","WINGATE GIN CORPORATION","WINGATE GIN CORP","","BRENT","J","MIKESKA","","BRENT J MIKESKA","BRENT J MIKESKA","1 WINGATE GIN CORPORATION","RUNNELS"
"0237395","46538.0","00299213","WINGATE GIN CORPORATION","WINGATE GIN CORP","","BRENT","J","MIKESKA","","BRENT J MIKESKA","BRENT J MIKESKA","2 WINGATE GIN CORPORATION","RUNNELS"
"0237610","46538.0","00037096","MYERS GRAIN AND FERTILIZER INC","MYERS GRAIN AND FERTILIZER INC","","ANNELLE","","WELCH","","ANNELLE  WELCH","ANNELLE  WELCH","MYERS GRAIN AND FERTILIZER INC","KNOX"
"0237610","46538.0","00037096","MYERS GRAIN AND FERTILIZER INC","MYERS GRAIN AND FERTILIZER INC","","ANNELLE","","WELCH","","ANNELLE  WELCH","ANNELLE  WELCH","MYERS GRAIN AND FERTILIZER - KNOX CITY","KNOX"
"0237610","46538.0","00037096","MYERS GRAIN AND FERTILIZER INC","MYERS GRAIN AND FERTILIZER INC","","ANNELLE","","WELCH","","ANNELLE  WELCH","ANNELLE  WELCH","MYERS GRAIN AND FERTILIZER - RED SPRINGS","BAYLOR"
"0237610","46538.0","00037096","MYERS GRAIN AND FERTILIZER INC","MYERS GRAIN AND FERTILIZER INC","","ANNELLE","","WELCH","","ANNELLE  WELCH","ANNELLE  WELCH","MYERS GRAIN AND FERTILIZER - CROWELL","FOARD"
