State,County,City,Business Entity,Warehouse Name,License Type,License Status,[License Number],CCC Code,CCC Status,Functional Unit,Capacities,Year of Ingest Date,Month of Ingest Date,Day of Ingest Date
MN,"Marshall, MN",Argyle,Argyle Cooperative Warehouse Association,ARGYLE COOPERATIVE WAREHOUSE ASSOCIATION,State,,[],[2-0129],Approved,1,"565,000",2026,September,9
MN,"Clearwater, MN",BAGLEY,Bagley Co-op Association,BAGLEY CO-OP ASSOCIATION,State,,[],[2-0146],Approved,1,"116,000",2026,September,9
MN,"Kandiyohi, MN",BLOMKEST,Allied Grain Company,ALLIED GRAIN COMPANY ELEVATOR,Federal,I - Issued,[3-8353],[2-0154],Approved,1,"4,406,000",2026,September,9
MN,"Lac Qui Parle, MN",BELLINGHAM,Farmers Cooperative Elevator Company of Bellingham,Farmers Cooperative Elevator Company of Bellingham,State,,[],[2-0171],Approved,1,"1,478,000",2026,September,9
MN,"Lac Qui Parle, MN",Louisburg,Farmers Cooperative Elevator Company of Bellingham,Farmers Cooperative Elevator Company of Bellingham,State,,[],[2-0171],Approved,2,0,2026,September,9
MN,"Wilkin, MN",BRECKENRIDGE,"Minn-Kota Ag Products, Inc.",MINN-KOTA ELEVATORS,Federal,I - Issued,[3-9491],[2-0191],Approved,1,"2,646,000",2026,September,9
MN,"Wilkin, MN",KENT,"Minn-Kota Ag Products, Inc.",MINN-KOTA ELEVATORS,Federal,I - Issued,[3-9491],[2-0191],Approved,3,"750,000",2026,September,9
ND,"Richland, ND",Colfax,"Minn-Kota Ag Products, Inc.",MINN-KOTA ELEVATORS,Federal,I - Issued,[3-9491],[2-0191],Approved,6,"972,000",2026,September,9
ND,"Richland, ND",MOORETON,"Minn-Kota Ag Products, Inc.",MINN-KOTA ELEVATORS,Federal,I - Issued,[3-9491],[2-0191],Approved,4,"4,917,000",2026,September,9
ND,"Richland, ND",WAHPETON,"Minn-Kota Ag Products, Inc.",MINN-KOTA ELEVATORS,Federal,I - Issued,[3-9491],[2-0191],Approved,5,"2,426,000",2026,September,9
ND,"Richland, ND",WYNDMERE,"Minn-Kota Ag Products, Inc.",MINN-KOTA ELEVATORS,Federal,I - Issued,[3-9491],[2-0191],Approved,2,"779,000",2026,September,9
MN,"Douglas, MN",BRANDON,Pro-Ag Farmers Cooperative,Pro-Ag Farmers Cooperative,State,,[],[2-0199],Approved,1,,2026,September,9
MN,"Douglas, MN",GARFIELD,Pro-Ag Farmers Cooperative,Pro-Ag Farmers Cooperative,State,,[],[2-0199],Approved,3,,2026,September,9
MN,"Grant, MN",HOFFMAN,Pro-Ag Farmers Cooperative,Pro-Ag Farmers Cooperative,State,,[],[2-0199],Approved,4,,2026,September,9
MN,"Otter Tail, MN",PARKERS PRAIRIE,Pro-Ag Farmers Cooperative,Pro-Ag Farmers Cooperative,State,,[],[2-0199],Approved,2,,2026,September,9
MN,"Todd, MN",Clarissa,Pro-Ag Farmers Cooperative,Pro-Ag Farmers Cooperative,State,,[],[2-0199],Approved,5,"137,000",2026,September,9
MN,"Todd, MN",Eagle Bend,Pro-Ag Farmers Cooperative,Pro-Ag Farmers Cooperative,State,,[],[2-0199],Approved,6,"934,000",2026,September,9
MN,"Pipestone, MN",Pipestone,Pipestone Grain Company,Pipestone Grain Elevator,Federal,I - Issued,[3-9290],[2-0200],Approved,1,"157,000",2026,September,9
MN,"Clearwater, MN",Clearbrook,"Clearbrook Elevator Association, Clearbrook, Minnesota",Clearbrook Elevator Association,State,,[],[2-0212],Approved,1,"269,000",2026,September,9
MN,"Big Stone, MN",BARRY,Beardsley Farmers Elevator Company,BEARDSLEY FARMERS ELEVATOR COMPANY,State,,[],[2-0218],Approved,2,"1,543,000",2026,September,9
MN,"Big Stone, MN",BEARDSLEY,Beardsley Farmers Elevator Company,BEARDSLEY FARMERS ELEVATOR COMPANY,State,,[],[2-0218],Approved,1,"3,352,000",2026,September,9
MN,"Houston, MN",Caledonia,"Bonanza Grain, Inc.","Bonanza Grain, Inc.",State,,[],[2-0233],Approved,1,"373,000",2026,September,9
MN,"Lac Qui Parle, MN",Dawson,Canby Farmers Grain Company,Canby Farmers Grain Elevator,Federal,I - Issued,[3-9574],[2-0235],Approved,3,"2,023,000",2026,September,9
MN,"Yellow Medicine, MN",Burr,Canby Farmers Grain Company,Canby Farmers Grain Elevator,Federal,I - Issued,[3-9574],[2-0235],Approved,5,"1,958,000",2026,September,9
MN,"Yellow Medicine, MN",Canby,Canby Farmers Grain Company,Canby Farmers Grain Elevator,Federal,I - Issued,[3-9574],[2-0235],Approved,1,"4,097,000",2026,September,9
MN,"Yellow Medicine, MN",Porter,Canby Farmers Grain Company,Canby Farmers Grain Elevator,Federal,I - Issued,[3-9574],[2-0235],Approved,4,"1,508,000",2026,September,9
SD,"Deuel, SD",Astoria,Canby Farmers Grain Company,Canby Farmers Grain Elevator,Federal,I - Issued,[3-9574],[2-0235],Approved,2,"2,921,000",2026,September,9
SD,"Bon Homme, SD",Kingsburg,"Lesterville Feed and Grain, Inc.",Lesterville Elevator,Federal,I - Issued,[3-9483],[2-0243],Approved,3,"1,233,000",2026,September,9
SD,"Yankton, SD",Lesterville,"Lesterville Feed and Grain, Inc.",Lesterville Elevator,Federal,I - Issued,[3-9483],[2-0243],Approved,1,"1,279,000",2026,September,9
MN,"Dodge, MN",KASSON,CHS Inc.,CHS Inc. Elevators,Federal,I - Issued,[3-9545],[2-0256],Approved,7,"3,624,000",2026,September,9
MN,"Fillmore, MN",OSTRANDER,CHS Inc.,CHS Inc. Elevators,Federal,I - Issued,[3-9545],[2-0256],Approved,4,"2,244,000",2026,September,9
MN,"Fillmore, MN",WYKOFF,CHS Inc.,CHS Inc. Elevators,Federal,I - Issued,[3-9545],[2-0256],Approved,6,"1,548,000",2026,September,9
