operator,label,state,how_the_state_was_decided,lat,lon,precision,via,location_id,platform,board_url
"Agtegra","Pollock","SD","one town of that name in the directory","45.889","-100.2875","town","zip-centroid","50055","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Willow Lake","SD","one town of that name in the directory","44.6272","-97.6747","town","zip-centroid","3134","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Wolsey","SD","one town of that name in the directory","44.3991","-98.4743","town","zip-centroid","3123","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Yale","SD","several states have the town; the operator's own is one","44.5225","-98.0401","town","zip-centroid","3130","agricharts-cashgrid","https://agtegra.agricharts.com/markets/cashgrid.php"
"Allied Cooperative","CLINTONVILLE","WI","one town of that name in the directory","44.63791","-88.74325","street","census","26501","dtn-cs","https://api.dtn.com/markets/sites/e0067101/cash-bids?units=us"
"Atkinson Grain & Fertilizer, Inc.","Atkinson","","no town of that name in data/directory.json","","","","","1858","agricharts-cashgrid","https://www.atkinsongrain.com/markets/cashgrid.php"
"Atkinson Grain & Fertilizer, Inc.","Big River","","no town of that name in data/directory.json","","","","","2799","agricharts-cashgrid","https://www.atkinsongrain.com/markets/cashgrid.php"
"Atkinson Grain & Fertilizer, Inc.","CHS","","no town of that name in data/directory.json","","","","","2798","agricharts-cashgrid","https://www.atkinsongrain.com/markets/cashgrid.php"
"BAB Grain","DEL ADM Decatur","","no town of that name in data/directory.json","","","","","DEL ADM Decatur","graindesk","https://marketplace.graindiscovery.com/api/public-sites/babgrain/cash-bids"
"BAB Grain","DEL St. Louis Area","","no town of that name in data/directory.json","","","","","DEL St. Louis Area","graindesk","https://marketplace.graindiscovery.com/api/public-sites/babgrain/cash-bids"
"BAB Grain","Waverly Rail","","no town of that name in data/directory.json","","","","","Waverly Rail","graindesk","https://marketplace.graindiscovery.com/api/public-sites/babgrain/cash-bids"
"Balk Grain and Trucking, Inc.","ADM Grain/Growmark","","no town of that name in data/directory.json","","","","","31303","agricharts","https://mobile.balkgrain.com/cash/prices.php"
"Balk Grain and Trucking, Inc.","CGB-Albany","IL","one town of that name in the directory","","","","","28616","agricharts","https://mobile.balkgrain.com/cash/prices.php"
"Cain Agra","Cain Agra- Lake Village, Arkansas","","no town of that name in data/directory.json","","","","","32080","agricharts-cashgrid","https://www.cainagra.net/markets/cashgrid.php"
"CHS Brandon (South Dakota/Minnesota)","Baltic","SD","several states have the town; the operator's own is one","43.7309","-96.7563","town","zip-centroid","c002140e-6e5b-4a07-8f7e-6b825eff290e","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Brandon (South Dakota/Minnesota)","Kanaranzi","","no town of that name in data/directory.json","","","","","6316b9aa-8e1d-4ec5-9c07-601cc76a70c1","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Dakota Plains Ag","Delivered Tharaldson","","no town of that name in data/directory.json","","","","","2a590a2b-1aed-4a7a-9f9c-a9fdccc5f5cb","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Calvin","ND","one town of that name in the directory","48.851","-98.8808","town","zip-centroid","7f7da1ca-ae99-40d6-b4ae-4f1458d6505a","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Devils Lake","ND","one town of that name in the directory","48.1132","-98.8616","town","zip-centroid","caeb5ce4-9592-4552-953f-f957820dbe9f","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Edmore","ND","one town of that name in the directory","48.4308","-98.4458","town","zip-centroid","111d39a6-c4d3-4417-8b33-6851259c956c","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Hallock - Devils Lake","","no town of that name in data/directory.json","","","","","8b922ea7-100c-4f96-ac39-03728f043cba","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Lakota","ND","several states have the town; the operator's own is one","47.972","-98.3246","town","zip-centroid","64446a4a-c951-4648-96b9-fdc31482e196","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Langdon","ND","one town of that name in the directory","48.7866","-98.3566","town","zip-centroid","d8bdd763-42c2-41a1-a163-396d818df08b","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Lankin","ND","one town of that name in the directory","48.2952","-98.007","town","zip-centroid","8922de77-9fad-4fe3-96df-03c159413057","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Milton","ND","several states have the town; the operator's own is one","48.617","-98.0183","town","zip-centroid","cc604cde-1749-4397-8753-9636f626332d","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Devils Lake (North Dakota)","Sarles","ND","one town of that name in the directory","48.9458","-98.996","town","zip-centroid","9f4a6fcf-849e-4491-a8ae-ba6ca957402c","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Drayton","Hallock Drayton","","no town of that name in data/directory.json","","","","","592c7afb-f5c8-4d09-9484-8aefddd8376c","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
"CHS Farmers Alliance","Chamberlain","SD","one town of that name in the directory","43.80305","-99.32125","town","zip-centroid","988613f1-d047-4682-b95d-454552d8a149","bushel","https://api.bushelpowered.com/api/markets/aggregator/bids/v1/GetBidsList"
