operator,label,state,how_the_state_was_decided,lat,lon,precision,via,location_id,platform,board_url
"CoMark Equity Alliance LLC","FREEDOM","","no town of that name in data/directory.json","","","","","11078","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","GOLTRY","","no town of that name in data/directory.json","","","","","11074","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","GOTEBO","","no town of that name in data/directory.json","","","","","76104","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","GRANITE","","no town of that name in data/directory.json","","","","","76108","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","GREAT PLAINS COMM","","no town of that name in data/directory.json","","","","","79028","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","GUYMON, OK","OK","the label names its own state (no town of that name on file there yet)","","","","","64248","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HARDTNER","","no town of that name in data/directory.json","","","","","45035","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HAZELTON","ND","one town of that name in the directory","46.4875","-100.2733","town","zip-centroid","43913","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HELENA","AR","one town of that name in the directory","34.5325","-90.6298","town","zip-centroid","11073","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HERNDON ELEVATOR","","no town of that name in data/directory.json","","","","","45042","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HILLSBORO HOOP","","no town of that name in data/directory.json","","","","","82605","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HILLSDALE","","no town of that name in data/directory.json","","","","","11091","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HOBART","","no town of that name in data/directory.json","","","","","76102","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HOLT TX","TX","the label names its own state (no town of that name on file there yet)","","","","","10969","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HOPETON","","no town of that name in data/directory.json","","","","","35949","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HUNTER","ND","one town of that name in the directory","47.1905","-97.217","town","zip-centroid","11092","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","HUNTOON TX","TX","the label names its own state (no town of that name on file there yet)","","","","","10970","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","JENNINGS ELEVATOR","","no town of that name in data/directory.json","","","","","45049","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","JET","","no town of that name in data/directory.json","","","","","11077","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","KANONA ELEVATOR","","no town of that name in data/directory.json","","","","","45051","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","KILDARE","","no town of that name in data/directory.json","","","","","11109","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","KIOWA","","no town of that name in data/directory.json","","","","","45056","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","KREMLIN","","no town of that name in data/directory.json","","","","","11090","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","LAMONT","","no town of that name in data/directory.json","","","","","11103","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","LEGER (ALTUS)","","no town of that name in data/directory.json","","","","","76171","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","LENORA ELEVATOR","","no town of that name in data/directory.json","","","","","45062","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","LIBERAL KS","KS","the label names its own state (no town of that name on file there yet)","","","","","10971","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","LONE WOLF","","no town of that name in data/directory.json","","","","","76101","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","MANCHESTER","","AMBIGUOUS — IA/IN, and nothing chooses between them","","","","","85305","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","MARLAND","","no town of that name in data/directory.json","","","","","45066","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","MARSHALL","","AMBIGUOUS — MI/MN/MO/WI, and nothing chooses between them","","","","","45067","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","MCWILLIE","","no town of that name in data/directory.json","","","","","11075","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","MEDFORD","WI","one town of that name in the directory","45.1512","-90.3503","town","zip-centroid","11099","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","MOORELAND","","no town of that name in data/directory.json","","","","","11080","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","NARDIN","","no town of that name in data/directory.json","","","","","11102","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","NASH","","no town of that name in data/directory.json","","","","","11086","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","NORCATUR ELEVATOR","","no town of that name in data/directory.json","","","","","45081","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","OBERLIN ELEVATOR","","no town of that name in data/directory.json","","","","","45083","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","PERRY","","no town of that name in data/directory.json","","","","","11107","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","PERRYTON TX","TX","the label names its own state (no town of that name on file there yet)","","","","","11123","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","PETERSBURG TX","TX","the label names its own state (no town of that name on file there yet)","","","","","10981","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","PONCA CITY","","no town of that name in data/directory.json","","","","","11105","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","POND CREEK","","no town of that name in data/directory.json","","","","","11087","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","PRAIRIEOLA KS","KS","the label names its own state (no town of that name on file there yet)","","","","","10974","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","PRINGLEMORSE","","no town of that name in data/directory.json","","","","","25764","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","RENFROW","","no town of that name in data/directory.json","","","","","11104","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","RIGA","","no town of that name in data/directory.json","","","","","63326","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","ROCKY","","no town of that name in data/directory.json","","","","","86371","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","ROOSEVELT","","no town of that name in data/directory.json","","","","","76109","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","SELMAN","","no town of that name in data/directory.json","","","","","35950","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","SENTINEL","","no town of that name in data/directory.json","","","","","86372","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","SNYDER","","no town of that name in data/directory.json","","","","","11117","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","SPEARMAN TX","TX","the label names its own state (no town of that name on file there yet)","","","","","10976","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","STANDARD (ALTUS)","","no town of that name in data/directory.json","","","","","76170","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","TEXHOMA, TX","TX","the label names its own state (no town of that name on file there yet)","","","","","64370","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","TONKAWA","","no town of that name in data/directory.json","","","","","11106","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","TURPIN OK","OK","the label names its own state (no town of that name on file there yet)","","","","","10977","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","TWICHELL TX","TX","the label names its own state (no town of that name on file there yet)","","","","","10978","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","WAKA TX","TX","the label names its own state (no town of that name on file there yet)","","","","","10979","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","WAKITA","","no town of that name in data/directory.json","","","","","11084","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","WAUKOMIS","","no town of that name in data/directory.json","","","","","11097","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","WAYNOKA","","no town of that name in data/directory.json","","","","","11079","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"CoMark Equity Alliance LLC","WEATHERFORD","","no town of that name in data/directory.json","","","","","11114","agricharts-cashgrid","https://ceagrain.agricharts.com/markets/cashgrid.php"
"Falmouth Farm Supply","Country View Family Farms","","no town of that name in data/directory.json","","","","","80108","agricharts-cashgrid","https://falmouthfarmsupply.agricharts.com/markets/cashgrid.php"
"Farmers Cooperative Dorchester","{AGP - Hastings}","NE","one town of that name in the directory","","","","","4681","agricharts","https://farmersco-operative.mobile.agricharts.com/cash/prices.php"
"Farmers Cooperative Dorchester","{AGP - St. Jo}","","no town of that name in data/directory.json","","","","","4682","agricharts","https://farmersco-operative.mobile.agricharts.com/cash/prices.php"
"Farmers Cooperative Dorchester","HUMBOLDT","","AMBIGUOUS — IA/SD, and nothing chooses between them","","","","","13439","agricharts","https://farmersco-operative.mobile.agricharts.com/cash/prices.php"
"Farmers Cooperative Dorchester","REYNOLDS","","AMBIGUOUS — IN/ND, and nothing chooses between them","","","","","4600","agricharts","https://farmersco-operative.mobile.agricharts.com/cash/prices.php"
"Farmers Elevator & Exchange, Inc.","ADM-Burlington","","no town of that name in data/directory.json","","","","","82063","agricharts","https://mobile.farmerseande.com/cash/prices.php"
"Farmers Elevator & Exchange, Inc.","Big River","","no town of that name in data/directory.json","","","","","82065","agricharts","https://mobile.farmerseande.com/cash/prices.php"
"Farmers Elevator & Exchange, Inc.","CGB-Meekers","","no town of that name in data/directory.json","","","","","82064","agricharts","https://mobile.farmerseande.com/cash/prices.php"
"Farmers Elevator & Exchange, Inc.","GPC","","no town of that name in data/directory.json","","","","","82050","agricharts","https://mobile.farmerseande.com/cash/prices.php"
"Farmers Elevator & Exchange, Inc.","Kalona","","no town of that name in data/directory.json","","","","","82048","agricharts","https://mobile.farmerseande.com/cash/prices.php"
"Farmers Elevator & Exchange, Inc.","Wapello","IA","one town of that name in the directory","41.207","-91.1719","town","zip-centroid","82049","agricharts","https://mobile.farmerseande.com/cash/prices.php"
"Farmward Cooperative","Farmward Cooperative - Clements","","no town of that name in data/directory.json","","","","","87431","agricharts-cashgrid","https://farmward.agricharts.com/markets/cashgrid.php"
"Farmward Cooperative","Farmward Cooperative - Danube East","","no town of that name in data/directory.json","","","","","87424","agricharts-cashgrid","https://farmward.agricharts.com/markets/cashgrid.php"
"Farmward Cooperative","Farmward Cooperative - Olivia","","no town of that name in data/directory.json","","","","","87426","agricharts-cashgrid","https://farmward.agricharts.com/markets/cashgrid.php"
"Farmward Cooperative","Farmward Cooperative - Renville","","no town of that name in data/directory.json","","","","","87423","agricharts-cashgrid","https://farmward.agricharts.com/markets/cashgrid.php"
"Farmward Cooperative","Farmward Cooperative - Sacred Heart","","no town of that name in data/directory.json","","","","","87425","agricharts-cashgrid","https://farmward.agricharts.com/markets/cashgrid.php"
"Farmward Cooperative","Farmward Cooperative - Wood Lake","","no town of that name in data/directory.json","","","","","87427","agricharts-cashgrid","https://farmward.agricharts.com/markets/cashgrid.php"
"FS Grain","ADM - Hennepin","","no town of that name in data/directory.json","","","","","76261","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","ADM - Morris","","no town of that name in data/directory.json","","","","","76263","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","ADM - Northern Crossing","","no town of that name in data/directory.json","","","","","81940","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","ADM - Ottawa","","no town of that name in data/directory.json","","","","","76265","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Ashton","","AMBIGUOUS — IA/KS, and nothing chooses between them","","","","","60464","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Bocker Ruff - Polo","","no town of that name in data/directory.json","","","","","76267","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Bourbonnais","","no town of that name in data/directory.json","","","","","26257","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Buda","","no town of that name in data/directory.json","","","","","30141","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Cargill - Spring Valley","","no town of that name in data/directory.json","","","","","76273","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","CGB - Dwight","","no town of that name in data/directory.json","","","","","76274","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","CHS - Annawan/Patriot","","no town of that name in data/directory.json","","","","","81949","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","CHS - Elburn/ Morris","","no town of that name in data/directory.json","","","","","85904","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","CHS - Peru","","no town of that name in data/directory.json","","","","","76280","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","CHS - Rochelle","","no town of that name in data/directory.json","","","","","76281","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Creston","IA","one town of that name in the directory","41.0499","-94.3471","town","zip-centroid","60466","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Exline","","no town of that name in data/directory.json","","","","","79679","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Fitchmoor","","no town of that name in data/directory.json","","","","","60468","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Harmon","","no town of that name in data/directory.json","","","","","42343","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Holder","","no town of that name in data/directory.json","","","","","88041","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Incobrasa","","no town of that name in data/directory.json","","","","","76282","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Kentland","IN","one town of that name in the directory","40.7877","-87.4471","town","zip-centroid","30145","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Lehigh","KS","one town of that name in the directory","38.3771","-97.3043","town","zip-centroid","76018","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Lisbon Center","","no town of that name in data/directory.json","","","","","79681","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","McLean","IL","one town of that name in the directory","40.3402","-89.1495","town","zip-centroid","88042","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Ohio","","no town of that name in data/directory.json","","","","","30150","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Polo","IL","several states have the town; the operator's own is one","","","","","76031","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Rock River - Sterling","","no town of that name in data/directory.json","","","","","76287","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Route 30","","no town of that name in data/directory.json","","","","","60470","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Serena","","no town of that name in data/directory.json","","","","","30155","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","St Anne","","no town of that name in data/directory.json","","","","","26258","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"FS Grain","Yuton","","no town of that name in data/directory.json","","","","","88043","agricharts-cashgrid","https://fsgrain.com/markets/cashgrid.php"
"H&B Specialties, Inc.","Cape Girardeau","","no town of that name in data/directory.json","","","","","3552","agricharts-cashgrid","https://www.hbspecialties.com/markets/cashgrid.php"
"H&B Specialties, Inc.","Granite City","","no town of that name in data/directory.json","","","","","3551","agricharts-cashgrid","https://www.hbspecialties.com/markets/cashgrid.php"
"Hoven Equity Exchange","CHS Selby - Direct Ship","","no town of that name in data/directory.json","","","","","84862","agricharts-cashgrid","https://www.hovenequity.com/markets/cashgrid.php"
"Hoven Equity Exchange","Hoven, SD","SD","the label names its own state","45.2278","-99.7763","town","zip-centroid","83200","agricharts-cashgrid","https://www.hovenequity.com/markets/cashgrid.php"
"Hoven Equity Exchange","Ring Neck Energy - Direct Ship","","no town of that name in data/directory.json","","","","","84866","agricharts-cashgrid","https://www.hovenequity.com/markets/cashgrid.php"
"Innovative Ag Services","ADM CR","","no town of that name in data/directory.json","","","","","22956","agricharts-cashgrid","https://innovativeag.agricharts.com/markets/cashgrid.php"
"Innovative Ag Services","Bear Rvr M","","no town of that name in data/directory.json","","","","","87656","agricharts-cashgrid","https://innovativeag.agricharts.com/markets/cashgrid.php"
"Innovative Ag Services","Bettendorf","","no town of that name in data/directory.json","","","","","86144","agricharts-cashgrid","https://innovativeag.agricharts.com/markets/cashgrid.php"
"Innovative Ag Services","Big River","","no town of that name in data/directory.json","","","","","4685","agricharts-cashgrid","https://innovativeag.agricharts.com/markets/cashgrid.php"
"Innovative Ag Services","Valero","","no town of that name in data/directory.json","","","","","4693","agricharts-cashgrid","https://innovativeag.agricharts.com/markets/cashgrid.php"
"Innovative Ag Services","Waukon","IA","one town of that name in the directory","43.264","-91.48","town","zip-centroid","4658","agricharts-cashgrid","https://innovativeag.agricharts.com/markets/cashgrid.php"
"JBS Live Pork","Bushnell, IL Feed Mill","","no town of that name in data/directory.json","","","","","85373","agricharts-cashgrid","https://jbslivepork.agricharts.com/markets/cashgrid.php"
"JBS Live Pork","Futures Only","","no town of that name in data/directory.json","","","","","87376","agricharts-cashgrid","https://jbslivepork.agricharts.com/markets/cashgrid.php"
"JBS Live Pork","Hedrick, IA Feed Mill","","no town of that name in data/directory.json","","","","","73264","agricharts-cashgrid","https://jbslivepork.agricharts.com/markets/cashgrid.php"
"JBS Live Pork","Mill 240 at Tarkio, MO Feed Mill","","no town of that name in data/directory.json","","","","","73269","agricharts-cashgrid","https://jbslivepork.agricharts.com/markets/cashgrid.php"
"JBS Live Pork","Morning Sun, IA Elevator","","no town of that name in data/directory.json","","","","","85375","agricharts-cashgrid","https://jbslivepork.agricharts.com/markets/cashgrid.php"
"JBS Live Pork","Oakville, IA Elevator","","no town of that name in data/directory.json","","","","","85067","agricharts-cashgrid","https://jbslivepork.agricharts.com/markets/cashgrid.php"
"JBS Live Pork","Richland, IA Elevator","","no town of that name in data/directory.json","","","","","85374","agricharts-cashgrid","https://jbslivepork.agricharts.com/markets/cashgrid.php"
"Legacy Farmers Cooperative","East Findlay","OH","one town of that name in the directory","41.07222","-83.59293","street","census","87487","agricharts","https://legacyfarmers.mobile.agricharts.com/cash/prices.php"
"Legacy Farmers Cooperative","North Findlay","OH","one town of that name in the directory","41.07222","-83.59293","street","census","87486","agricharts","https://legacyfarmers.mobile.agricharts.com/cash/prices.php"
"Linn Coop Oil Company","ADM","IA","one town of that name in the directory","","","","","26274","agricharts-cashgrid","https://linncoop.agricharts.com/markets/cashgrid.php"
"Melrose Farm Service Inc_Mobile","Country Farm Supply","","no town of that name in data/directory.json","","","","","31213","agricharts","https://mobile.melrosefarmservice.com/cash/prices.php"
"Mercer Landmark","Heartland Minster","","no town of that name in data/directory.json","","","","","81827","agricharts-cashgrid","https://mercerlandmark.agricharts.com/markets/cashgrid.php"
"Mercer Landmark","Heartland St Anthony","","no town of that name in data/directory.json","","","","","81828","agricharts-cashgrid","https://mercerlandmark.agricharts.com/markets/cashgrid.php"
"Mercer Landmark","Heartland St Henry","","no town of that name in data/directory.json","","","","","25689","agricharts-cashgrid","https://mercerlandmark.agricharts.com/markets/cashgrid.php"
"Mercer Landmark","HTA","","no town of that name in data/directory.json","","","","","82433","agricharts-cashgrid","https://mercerlandmark.agricharts.com/markets/cashgrid.php"
"Mercer Landmark","MPS St Henry","","no town of that name in data/directory.json","","","","","72575","agricharts-cashgrid","https://mercerlandmark.agricharts.com/markets/cashgrid.php"
"Mercer Landmark","New Weston","OH","one town of that name in the directory","40.3349","-84.6308","town","zip-centroid","25685","agricharts-cashgrid","https://mercerlandmark.agricharts.com/markets/cashgrid.php"
"New Vision Co-op","BREWSTER","KS","one town of that name in the directory","","","","","46894","agricharts-cashgrid","https://newvision.agricharts.com/markets/cashgrid.php"
"New Vision Co-op","DUNDEE","KS","one town of that name in the directory","38.3936","-98.7751","town","zip-centroid","46900","agricharts-cashgrid","https://newvision.agricharts.com/markets/cashgrid.php"
"New Vision Co-op","HERON LAKE","","no town of that name in data/directory.json","","","","","46895","agricharts-cashgrid","https://newvision.agricharts.com/markets/cashgrid.php"
"New Vision Co-op","JEFFERS","","no town of that name in data/directory.json","","","","","46902","agricharts-cashgrid","https://newvision.agricharts.com/markets/cashgrid.php"
"New Vision Co-op","MILOMA","","no town of that name in data/directory.json","","","","","41203","agricharts-cashgrid","https://newvision.agricharts.com/markets/cashgrid.php"
"New Vision Co-op","MNSP Brewster","","no town of that name in data/directory.json","","","","","84399","agricharts-cashgrid","https://newvision.agricharts.com/markets/cashgrid.php"
"New Vision Co-op","WORTHINGTON","MN","several states have the town; the operator's own is one","43.6286","-95.6059","town","zip-centroid","46897","agricharts-cashgrid","https://newvision.agricharts.com/markets/cashgrid.php"
"Nutrition Service Co. LLC","Coleman","","no town of that name in data/directory.json","","","","","84459","agricharts-cashgrid","https://nutritionservice.agricharts.com/markets/cashgrid.php"
"Nutrition Service Co. LLC","Pulaski","WI","one town of that name in the directory","44.63637","-88.2823","street","census","37650","agricharts-cashgrid","https://nutritionservice.agricharts.com/markets/cashgrid.php"
"Nutrition Service Co. LLC","Seymour","","AMBIGUOUS — IL/IN/WI, and nothing chooses between them","","","","","87812","agricharts-cashgrid","https://nutritionservice.agricharts.com/markets/cashgrid.php"
"Nutrition Service Co. LLC","Sherwood","OH","one town of that name in the directory","41.2946","-84.5417","town","zip-centroid","84445","agricharts-cashgrid","https://nutritionservice.agricharts.com/markets/cashgrid.php"
"Prairie Ag Partners","Arlington","SD","several states have the town; the operator's own is one","44.3668","-97.0687","town","zip-centroid","64574","agricharts-cashgrid","https://prairieagpartners.agricharts.com/markets/cashgrid.php"
"Prairie Ag Partners","Badger","SD","several states have the town; the operator's own is one","44.4918","-97.2184","town","zip-centroid","64576","agricharts-cashgrid","https://prairieagpartners.agricharts.com/markets/cashgrid.php"
"Prairie Ag Partners","Bancroft","SD","several states have the town; the operator's own is one","44.3455","-97.8542","town","zip-centroid","64578","agricharts-cashgrid","https://prairieagpartners.agricharts.com/markets/cashgrid.php"
"Prairie Ag Partners","Carthage","SD","several states have the town; the operator's own is one","44.1496","-97.7116","town","zip-centroid","64581","agricharts-cashgrid","https://prairieagpartners.agricharts.com/markets/cashgrid.php"
"Prairie Ag Partners","DeSmet","","no town of that name in data/directory.json","","","","","64583","agricharts-cashgrid","https://prairieagpartners.agricharts.com/markets/cashgrid.php"
"Prairie Ag Partners","Lake Preston","SD","one town of that name in the directory","44.3692","-97.3828","town","zip-centroid","64570","agricharts-cashgrid","https://prairieagpartners.agricharts.com/markets/cashgrid.php"
"Primient Grain","Loudon","","no town of that name in data/directory.json","","","","","46731","agricharts-cashgrid","https://primientgrain.agricharts.com/markets/cashgrid.php"
"Pro Cooperative","AGP- EMMETSBURG","","no town of that name in data/directory.json","","","","","74325","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","AYRSHIRE.IA","","no town of that name in data/directory.json","","","","","21297","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","BRADGATE.IA","","no town of that name in data/directory.json","","","","","21298","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","GILMORE CITY.IA","","no town of that name in data/directory.json","","","","","21299","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","GRAETTINGER.IA","","no town of that name in data/directory.json","","","","","21300","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","HAVELOCK.IA","","no town of that name in data/directory.json","","","","","21301","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","PLOVER.IA","","no town of that name in data/directory.json","","","","","21305","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","POCAHONTAS.IA","","no town of that name in data/directory.json","","","","","21306","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","ROLFE.IA","","no town of that name in data/directory.json","","","","","21307","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","RUTHVEN.IA","","no town of that name in data/directory.json","","","","","21308","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","RUTLAND.IA","","no town of that name in data/directory.json","","","","","21309","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","TERRIL.IA","","no town of that name in data/directory.json","","","","","21310","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Pro Cooperative","WALLINGFORD.IA","","no town of that name in data/directory.json","","","","","21942","agricharts","https://procooperative.mobile.agricharts.com/cash/prices.php"
"Riceland Foods","New Madrid","MO","one town of that name in the directory","36.6073","-89.5366","town","zip-centroid","9ad01feb-ae8e-47a1-b1b7-e9a061155be8","bushel","https://futures.bushelops.com/api/v1/cash-bids"
