operator_rank,operator,operator_facilities_in_gap,branch,city,state,lat,lon,website
5,"Cargill US",26,"Beardstown, CAH","Beardstown","IL",40.0044,-90.4229,""
5,"Cargill US",26,"Frederick, CAH","Beardstown","IL",40.0044,-90.4229,""
5,"Cargill US",26,"Bloomingburg, CAH","Bloomingburg","OH",39.6286,-83.4095,""
5,"Cargill US",26,"Chillicothe, CAH","Chillicothe","OH",39.338,-82.9895,""
5,"Cargill US",26,"Circleville, CAH","Circleville","OH",39.5988,-82.93,""
5,"Cargill US",26,"Cargill, CAH (Dlvd AC Grain LLC, Dana, IN)","Dana","IN",39.839,-87.4712,""
5,"Cargill US",26,"Emery, CAH","Emery","SD",43.5656,-97.6475,""
5,"Cargill US",26,"Fayetteville2, GOS","Fayetteville","NC",34.9549,-78.7408,""
5,"Cargill US",26,"Cargill, CAH (Dlvd Bunge, Gibson City, IL)","Gibson City","IL",40.4659,-88.3609,""
5,"Cargill US",26,"Gibson City, CAH","Gibson City","IL",40.4659,-88.3609,""
5,"Cargill US",26,"Gilman, CAH","Gilman","IL",40.768,-87.9933,""
5,"Cargill US",26,"Hales Point, CAH","Halls","TN",35.8862,-89.4147,""
5,"Cargill US",26,"Hutchinson East, CAH","Hutchinson","KS",38.055,-97.9311,""
5,"Cargill US",26,"Hutchinson West, CAH","Hutchinson","KS",38.055,-97.9311,""
5,"Cargill US",26,"Indianapolis, SSNA","Indianapolis","IN",39.789,-86.2136,""
5,"Cargill US",26,"Lima, CAH","Lima","OH",40.7641,-84.0973,""
5,"Cargill US",26,"Linden, CAH","Linden","IN",40.1833,-86.8905,""
5,"Cargill US",26,"Paris Mill, SSNA","Paris","IL",39.6132,-87.6976,""
5,"Cargill US",26,"Florence, CAH","Pittsfield","IL",39.6013,-90.8073,""
5,"Cargill US",26,"Savage, CAH","Savage","MN",44.914,-93.4481,""
5,"Cargill US",26,"Bailey, GOS","Selma","NC",35.5565,-78.264,""
5,"Cargill US",26,"Tipton, CAH","Tipton","IN",40.2817,-86.0433,""
5,"Cargill US",26,"Topeka - Crossroads, CAH","Topeka","KS",39.1329,-95.7023,""
5,"Cargill US",26,"Topeka - Gordon, CAH","Topeka","KS",39.0858,-95.6867,""
5,"Cargill US",26,"West Fargo, GOS","West Fargo","ND",46.8907,-96.9258,""
5,"Cargill US",26,"Napa Junction, CAH","Yankton","SD",42.8821,-97.3986,""
6,"NEW Cooperative, Inc.",26,"Badger","Badger","IA",42.6144,-94.1461,""
6,"NEW Cooperative, Inc.",26,"Barnum","Barnum","IA",42.5159,-94.3703,""
6,"NEW Cooperative, Inc.",26,"Belmond","Belmond","IA",42.8511,-93.62,""
6,"NEW Cooperative, Inc.",26,"Blairsburg","Blairsburg","IA",42.4937,-93.6594,""
6,"NEW Cooperative, Inc.",26,"Blencoe","Blencoe","IA",41.9237,-96.0827,""
6,"NEW Cooperative, Inc.",26,"Churdan","Churdan","IA",42.1614,-94.4933,""
6,"NEW Cooperative, Inc.",26,"Clare","Clare","IA",42.5954,-94.308,""
6,"NEW Cooperative, Inc.",26,"Dows","Dows","IA",42.661,-93.5058,""
6,"NEW Cooperative, Inc.",26,"Duncombe","Duncombe","IA",42.4493,-94.0592,""
6,"NEW Cooperative, Inc.",26,"Glidden","Glidden","IA",42.0618,-94.7148,""
6,"NEW Cooperative, Inc.",26,"Lanyon","Harcourt","IA",42.2531,-94.1961,""
6,"NEW Cooperative, Inc.",26,"Humboldt","Humboldt","IA",42.7196,-94.2132,""
6,"NEW Cooperative, Inc.",26,"Cooper","Jefferson","IA",42.0093,-94.3888,""
6,"NEW Cooperative, Inc.",26,"Knierim","Knierim","IA",42.4555,-94.4569,""
6,"NEW Cooperative, Inc.",26,"Lanesboro","Lanesboro","IA",42.1845,-94.6917,""
6,"NEW Cooperative, Inc.",26,"Lohrville","Lohrville","IA",42.2619,-94.5566,""
6,"NEW Cooperative, Inc.",26,"Roelyn","Moorland","IA",42.434,-94.3199,""
6,"NEW Cooperative, Inc.",26,"Onawa","Onawa","IA",42.037,-96.1072,""
6,"NEW Cooperative, Inc.",26,"Otho","Otho","IA",42.4031,-94.1388,""
6,"NEW Cooperative, Inc.",26,"Red Oak","Red Oak","IA",41.0079,-95.2269,""
6,"NEW Cooperative, Inc.",26,"Rands","Rockwell City","IA",42.3961,-94.6292,""
6,"NEW Cooperative, Inc.",26,"Rowan","Rowan","IA",42.7596,-93.557,""
6,"NEW Cooperative, Inc.",26,"Ute","Ute","IA",42.0581,-95.7125,""
6,"NEW Cooperative, Inc.",26,"Villisca","Villisca","IA",40.9437,-94.9796,""
6,"NEW Cooperative, Inc.",26,"Vincent","Vincent","IA",42.5623,-94.0335,""
6,"NEW Cooperative, Inc.",26,"Woolstock","Woolstock","IA",42.5844,-93.8216,""
7,"Nexus Cooperative",24,"ADAMS, MN","Adams","MN",43.5591,-92.7305,""
7,"Nexus Cooperative",24,"ALDEN, MN","Alden","MN",43.6466,-93.5823,""
7,"Nexus Cooperative",24,"BLOOMING PRAIRIE, MN","Blooming Prairie","MN",43.8977,-93.0608,""
7,"Nexus Cooperative",24,"BROWNSDALE, MN","Brownsdale","MN",43.7248,-92.8738,""
7,"Nexus Cooperative",24,"CARPENTER, IA","Carpenter","IA",43.415,-93.0149,""
7,"Nexus Cooperative",24,"CHAPIN, IA","Chapin","IA",42.8349,-93.2226,""
7,"Nexus Cooperative",24,"CONGER, MN","Conger","MN",43.615,-93.5283,""
7,"Nexus Cooperative",24,"DEWAR, IA","Dewar","IA",42.5253,-92.2207,""
7,"Nexus Cooperative",24,"ELGIN, IA","Elgin","IA",42.9548,-91.6454,""
7,"Nexus Cooperative",24,"EMMONS, MN","Emmons","MN",43.5089,-93.4824,""
7,"Nexus Cooperative",24,"HARLAN, IA","Harlan","IA",41.6437,-95.3111,""
7,"Nexus Cooperative",24,"LANSING, MN","Lansing","MN",43.7452,-92.9702,""
7,"Nexus Cooperative",24,"LEROY, MN","Leroy","MN",43.5315,-92.5065,""
7,"Nexus Cooperative",24,"LONDON, MN","London","MN",43.5577,-93.2618,""
7,"Nexus Cooperative",24,"MARBLE ROCK, IA","Marble Rock","IA",42.9645,-92.8917,""
7,"Nexus Cooperative",24,"MINNESOTA LAKE","Minnesota Lake","MN",43.8295,-93.8282,""
7,"Nexus Cooperative",24,"NORTHWOOD, IA","Northwood","IA",43.4506,-93.2419,""
7,"Nexus Cooperative",24,"OELWEIN, IA","Oelwein","IA",42.6811,-91.9131,""
7,"Nexus Cooperative",24,"ROCKFORD, IA","Rockford","IA",43.0573,-92.952,""
7,"Nexus Cooperative",24,"ROSE CREEK, MN","Rose Creek","MN",43.6036,-92.8319,""
7,"Nexus Cooperative",24,"RUDD, IA","Rudd","IA",43.142,-92.8885,""
7,"Nexus Cooperative",24,"STACYVILLE, IA","Stacyville","IA",43.4457,-92.761,""
7,"Nexus Cooperative",24,"TOETERVILLE, IA","Toeterville","IA",43.3564,-92.789,""
7,"Nexus Cooperative",24,"WELLS","Wells","MN",43.7434,-93.7321,""
8,"Premier Cooperative - IL",22,"Premier Cooperative - Champaign","Champaign","IL",40.1073,-88.2788,""
8,"Premier Cooperative - IL",22,"Dewey","Dewey","IL",40.3131,-88.277,""
8,"Premier Cooperative - IL",22,"Dillsburg","Dillsburg","IL",40.3107,-88.1462,""
8,"Premier Cooperative - IL",22,"Jamaica","Fairmount","IL",40.0373,-87.8365,""
8,"Premier Cooperative - IL",22,"Ivesdale","Ivesdale","IL",39.9502,-88.4451,""
